Trial,CreateTime(s),CreateTPS,TransferTime(s),TransferTPS,DeleteTime(s),DeleteTPS,CorrelateTime(s),CorrelateTPS
1,0.734,1.362,0.384,2.604,0.451,2.217,0.018,55.556
2,0.370,2.703,0.449,2.227,0.364,2.747,0.014,71.429
3,0.371,2.695,0.486,2.058,0.367,2.725,0.013,76.923
4,0.432,2.315,0.451,2.217,0.341,2.933,0.014,71.429
5,0.425,2.353,0.424,2.358,0.361,2.770,0.015,66.667
6,0.417,2.398,0.388,2.577,0.375,2.667,0.015,66.667
7,0.432,2.315,0.395,2.532,0.441,2.268,0.014,71.429
8,0.483,2.070,0.357,2.801,0.460,2.174,0.014,71.429
9,0.372,2.688,0.342,2.924,0.376,2.660,0.013,76.923
10,0.520,1.923,0.344,2.907,0.466,2.146,0.011,90.909
11,0.424,2.358,0.455,2.198,0.392,2.551,0.014,71.429
12,0.483,2.070,0.392,2.551,0.443,2.257,0.013,76.923
13,0.502,1.992,0.471,2.123,0.442,2.262,0.014,71.429
14,0.402,2.488,0.359,2.786,0.492,2.033,0.014,71.429
15,0.403,2.481,0.405,2.469,0.486,2.058,0.012,83.333
16,0.342,2.924,0.488,2.049,0.440,2.273,0.012,83.333
17,0.356,2.809,0.466,2.146,0.389,2.571,0.014,71.429
18,0.398,2.513,0.414,2.415,0.400,2.500,0.015,66.667
19,0.385,2.597,0.440,2.273,0.450,2.222,0.013,76.923
20,0.471,2.123,0.444,2.252,0.405,2.469,0.013,76.923
21,0.470,2.128,0.392,2.551,0.445,2.247,0.014,71.429
22,0.402,2.488,0.410,2.439,0.457,2.188,0.013,76.923
23,0.398,2.513,0.468,2.137,0.463,2.160,0.014,71.429
24,0.446,2.242,0.416,2.404,0.466,2.146,0.013,76.923
25,0.355,2.817,0.373,2.681,0.350,2.857,0.015,66.667
26,0.343,2.915,0.341,2.933,0.339,2.950,0.013,76.923
27,0.348,2.874,0.339,2.950,0.344,2.907,0.014,71.429
28,0.338,2.959,0.336,2.976,0.332,3.012,0.016,62.500
29,0.337,2.967,0.333,3.003,0.334,2.994,0.016,62.500
30,0.341,2.933,0.356,2.809,0.336,2.976,0.014,71.429
