Trial,CreateTime(s),CreateTPS,TransferTime(s),TransferTPS,DeleteTime(s),DeleteTPS,CorrelateTime(s),CorrelateTPS
1,0.704,1.420,0.439,2.278,0.406,2.463,0.024,41.667
2,0.420,2.381,0.388,2.577,0.446,2.242,0.014,71.429
3,0.387,2.584,0.435,2.299,0.403,2.481,0.012,83.333
4,0.364,2.747,0.422,2.370,0.357,2.801,0.013,76.923
5,0.382,2.618,0.472,2.119,0.363,2.755,0.013,76.923
6,0.383,2.611,0.451,2.217,0.394,2.538,0.016,62.500
7,0.383,2.611,0.396,2.525,0.363,2.755,0.016,62.500
8,0.422,2.370,0.426,2.347,0.338,2.959,0.014,71.429
9,0.424,2.358,0.455,2.198,0.371,2.695,0.012,83.333
10,0.388,2.577,0.491,2.037,0.371,2.695,0.014,71.429
11,0.368,2.717,0.439,2.278,0.373,2.681,0.012,83.333
12,0.414,2.415,0.432,2.315,0.351,2.849,0.015,66.667
13,0.454,2.203,0.423,2.364,0.355,2.817,0.014,71.429
14,0.417,2.398,0.473,2.114,0.372,2.688,0.014,71.429
15,0.443,2.257,0.440,2.273,0.353,2.833,0.012,83.333
16,0.450,2.222,0.440,2.273,0.379,2.639,0.012,83.333
17,0.415,2.410,0.383,2.611,0.374,2.674,0.011,90.909
18,0.436,2.294,0.466,2.146,0.354,2.825,0.014,71.429
19,0.467,2.141,0.362,2.762,0.503,1.988,0.013,76.923
20,0.438,2.283,0.403,2.481,0.454,2.203,0.013,76.923
21,0.452,2.212,0.385,2.597,0.434,2.304,0.014,71.429
22,0.418,2.392,0.378,2.646,0.385,2.597,0.014,71.429
23,0.461,2.169,0.438,2.283,0.374,2.674,0.015,66.667
24,0.471,2.123,0.470,2.128,0.663,1.508,0.014,71.429
25,0.416,2.404,0.364,2.747,0.345,2.899,0.017,58.824
26,0.345,2.899,0.346,2.890,0.341,2.933,0.017,58.824
27,0.336,2.976,0.337,2.967,0.338,2.959,0.017,58.824
28,0.341,2.933,0.333,3.003,0.341,2.933,0.015,66.667
29,0.343,2.915,0.335,2.985,0.339,2.950,0.021,47.619
30,0.341,2.933,0.337,2.967,0.342,2.924,0.017,58.824
