Trial,CreateTime(s),CreateTPS,TransferTime(s),TransferTPS,DeleteTime(s),DeleteTPS,CorrelateTime(s),CorrelateTPS
1,0.757,1.321,0.480,2.083,0.447,2.237,0.022,45.455
2,0.410,2.439,0.439,2.278,0.475,2.105,0.018,55.556
3,0.465,2.151,0.460,2.174,0.464,2.155,0.018,55.556
4,0.444,2.252,0.459,2.179,0.463,2.160,0.018,55.556
5,0.456,2.193,0.406,2.463,0.394,2.538,0.015,66.667
6,0.457,2.188,0.464,2.155,0.438,2.283,0.015,66.667
7,0.388,2.577,0.548,1.825,0.420,2.381,0.013,76.923
8,0.389,2.571,0.547,1.828,0.414,2.415,0.016,62.500
9,0.371,2.695,0.456,2.193,0.437,2.288,0.013,76.923
10,0.472,2.119,0.391,2.558,0.395,2.532,0.014,71.429
11,0.523,1.912,0.423,2.364,0.473,2.114,0.014,71.429
12,0.457,2.188,0.399,2.506,0.429,2.331,0.013,76.923
13,0.474,2.110,0.373,2.681,0.413,2.421,0.014,71.429
14,0.483,2.070,0.393,2.545,0.394,2.538,0.011,90.909
15,0.429,2.331,0.449,2.227,0.426,2.347,0.020,50.000
16,0.500,2.000,0.453,2.208,0.434,2.304,0.013,76.923
17,0.455,2.198,0.398,2.513,0.419,2.387,0.014,71.429
18,0.418,2.392,0.425,2.353,0.452,2.212,0.016,62.500
19,0.340,2.941,0.497,2.012,0.410,2.439,0.014,71.429
20,0.387,2.584,0.475,2.105,0.342,2.924,0.012,83.333
21,0.399,2.506,0.467,2.141,0.358,2.793,0.013,76.923
22,0.366,2.732,0.400,2.500,0.468,2.137,0.012,83.333
23,0.358,2.793,0.401,2.494,0.414,2.415,0.013,76.923
24,0.439,2.278,0.395,2.532,0.484,2.066,0.020,50.000
25,0.378,2.646,0.396,2.525,0.466,2.146,0.015,66.667
26,0.369,2.710,0.484,2.066,0.396,2.525,0.016,62.500
27,0.359,2.786,0.504,1.984,0.418,2.392,0.014,71.429
28,0.370,2.703,0.420,2.381,0.387,2.584,0.017,58.824
29,0.429,2.331,0.443,2.257,0.428,2.336,0.016,62.500
30,0.452,2.212,0.405,2.469,0.442,2.262,0.014,71.429
